seg_id,seg_label,xs,ys,zs,xe,ye,ze,xm,ym,zm,diameter
218,basal3_0211,-31.512604759782125,-110.20383847196273,-71.19091553686499,-43.6495034218359,-118.66302082719123,-70.27191920694885,-38.288122559481955,-113.44318736700758,-70.98451604319291,0.5
219,basal3_0211,-43.6495034218359,-118.66302082719123,-70.27191920694885,-44.4712881437505,-132.927618083047,-72.0068147428597,-44.89314420275342,-125.54254719634707,-70.42550315174924,0.5
220,basal3_0211,-44.4712881437505,-132.927618083047,-72.0068147428597,-52.30608935239721,-143.72989481173653,-76.18570455891955,-47.23286396014608,-138.88832255978144,-74.37530943408616,0.5
221,basal3_0211,-52.30608935239721,-143.72989481173653,-76.18570455891955,-56.84958189662573,-154.17280202583046,-84.27800558706636,-55.34777339162046,-150.51125069265828,-77.72725799497431,0.5
222,basal3_0211,-56.849581896625736,-154.17280202583046,-84.27800558706637,-63.529998779296875,-164.86917114257812,-91.95249938964844,-60.2487643427808,-158.80441715454566,-88.79492861293791,0.5
223,basal3_0212,-1.5199999809265137,-104.6291732788086,-73.75249481201172,-15.170063798509672,-107.56482612304963,-76.02029900582848,-8.345031889718094,-106.0969997009291,-74.8863969089201,0.879883283511157
224,basal3_0212,-15.170063798509672,-107.56482612304963,-76.02029900582848,-28.82012761609283,-110.50047896729065,-78.28810319964525,-21.99509570730125,-109.03265254517014,-77.15420110273686,0.6396498505334707
225,basal3_0212,-28.820127616092833,-110.50047896729065,-78.28810319964525,-30.468693307184225,-120.82537445213163,-85.51179531423433,-31.477590932784835,-115.29370777255005,-81.92742877469317,0.5
226,basal3_0212,-30.468693307184225,-120.82537445213163,-85.51179531423433,-24.37047961482833,-130.43515901672794,-93.74686944423186,-27.497893907826906,-126.00465941169287,-89.20690683943448,0.5
227,basal3_0212,-24.37047961482833,-130.43515901672794,-93.74686944423186,-21.080932254851028,-141.86628952829108,-100.83995738669985,-22.167005222404683,-135.6770250384084,-97.64753618683491,0.5
228,basal3_0212,-21.080932254851028,-141.86628952829108,-100.83995738669985,-17.297955322457007,-151.83836694511226,-110.05634221947504,-19.10663064021931,-146.86098396729918,-105.44174703406863,0.5
229,basal3_0212,-17.297955322457003,-151.83836694511223,-110.05634221947503,-21.769282247939223,-160.94769452311797,-119.91091557680248,-19.533618785198115,-156.39303073411511,-114.98362889813876,0.5
230,basal3_0212,-21.769282247939223,-160.94769452311797,-119.91091557680248,-12.446669525293741,-169.2298114781707,-126.58279915275811,-17.085329572056423,-165.0761264690801,-123.23080546689619,0.5
231,basal3_0212,-12.44666952529375,-169.22981147817066,-126.5827991527581,-2.9900002479553223,-177.5191650390625,-132.93251037597656,-7.989849139871689,-173.4806614037733,-130.0596273517517,0.5
232,basal3_02121,-2.9900002479553223,-177.5191650390625,-132.93251037597656,-1.7300000190734863,-197.0091552734375,-142.83250427246094,-1.7300000190734863,-187.24885288385676,-137.80131974317072,0.5
