seg_id,xs,ys,zs,ds,as,xe,ye,ze,de,ae,segment,length
138,95.02,72.05,107.43,0.5,154.258,100.91,75.05,116.31,0.5,165.329,basal2_021,11.0700722671534
139,100.91,75.05,116.31,0.5,165.329,111.2,73.55,121.89,0.5,177.13,basal2_021,11.8012923021168
140,8.57,27.69,2.07,1.5,0,9.88,31.51,0.87,1.5,4.2129,basal2_022,4.21289686557836
141,9.88,31.51,0.87,1.5,4.2129,15.46,43.61,-3.03,1.5,18.0966,basal2_022,13.8836738653715
142,15.46,43.61,-3.03,1.5,18.0966,19.93,52.88,24.75,1.5,47.7216,basal2_022,29.6250265822666
143,19.93,52.88,24.75,1.5,0,19.8,57,3.03,0.5,22.1077,basal2_0221,22.107684184464
144,19.8,57,3.03,0.5,22.1077,25.41,64.5,4.11,0.5,31.5358,basal2_0221,9.42806979185029
145,25.41,64.5,4.11,0.5,31.5358,32.07,72.28,8.01,0.5,42.4945,basal2_0221,10.9587408035778
146,32.07,72.28,8.01,0.5,42.4945,36.88,78.42,7.05,0.5,50.3531,basal2_0221,7.85858129690086
147,36.88,78.42,7.05,0.5,50.3531,45.85,85.2,9.57,0.5,61.8761,basal2_0221,11.5230074199403
148,45.85,85.2,9.57,0.5,61.8761,52.26,89.46,12.09,0.5,69.9746,basal2_0221,8.09852455697949
149,52.26,89.46,12.09,0.5,69.9746,61.01,95.27,16.11,0.5,81.2209,basal2_0221,11.2462882765826
150,61.01,95.27,16.11,0.5,81.2209,70.14,100.48,19.47,0.5,92.2568,basal2_0221,11.0358778536191
151,70.14,100.48,19.47,0.5,92.2568,76.77,105.72,22.65,0.5,101.286,basal2_0221,9.02922477292485
152,76.77,105.72,22.65,0.5,101.286,86.27,110.35,22.83,0.5,111.856,basal2_0221,10.5697350960183
153,86.27,110.35,22.83,0.5,111.856,90.46,113.54,18.63,0.5,118.592,basal2_0221,6.73588895395404
154,90.46,113.54,18.63,0.5,118.592,96.18,116.93,23.61,0.5,126.899,basal2_0221,8.30727993990814
155,96.18,116.93,23.61,0.5,126.899,99.24,121.9,25.89,0.5,133.165,basal2_0221,6.26601149057356
156,99.24,121.9,25.89,0.5,133.165,104.56,123.33,27.87,0.5,139.019,basal2_0221,5.85386197309093
157,104.56,123.33,27.87,0.5,139.019,111.09,128.07,29.91,0.5,147.342,basal2_0221,8.3228660928793
158,111.09,128.07,29.91,0.5,147.342,115.9,134.21,32.43,0.5,155.538,basal2_0221,8.19671275573325
159,115.9,134.21,32.43,0.5,155.538,122.08,142.09,32.13,0.5,165.557,basal2_0221,10.0188222860773
160,122.08,142.09,32.13,0.5,165.557,124.87,148.15,33.57,0.5,172.382,basal2_0221,6.82504945037031
161,124.87,148.15,33.57,0.5,172.382,123.03,153.65,37.71,0.5,179.508,basal2_0221,7.12567189814406
162,19.93,52.88,24.75,1.5,0,28.43,55.16,23.43,1,8.89892,basal2_0222,8.89892128294211
163,28.43,55.16,23.43,1,8.89892,35.26,61.38,22.47,1,18.1865,basal2_0222,9.28756695803589
164,35.26,61.38,22.47,1,18.1865,41.75,63.58,19.71,1,25.5742,basal2_0222,7.38767216381453
165,41.75,63.58,19.71,1,25.5742,44.94,64.44,19.05,1,28.9433,basal2_0222,3.36916903701788
166,44.94,64.44,19.05,1,0,45.19,67.96,21.54,0.5,4.31891,basal2_02221,4.31891190000444
167,45.19,67.96,21.54,0.5,4.31891,50.96,73.89,23.76,0.5,12.8855,basal2_02221,8.56657457797457
